account_angaza_id,effective_date,angaza_id,amount_towards_follow_on
AC8667678,2023-09-29,US056413,200
AC8654752,2023-09-29,US111979,80
AC8692509,2023-09-29,US011278,20
AC8644380,2023-09-29,US063983,60
AC8656509,2023-09-29,US123222,40
AC8672715,2023-09-29,US156777,5400
AC8677654,2023-09-29,US123152,20
AC8675125,2023-09-29,US130939,40
AC8672784,2023-09-29,US008494,25
AC8680480,2023-09-29,US134422,20
AC8665450,2023-09-29,US172112,6000
AC8671127,2023-09-29,US119711,1100
AC8640525,2023-09-29,US111194,100
AC8673801,2023-09-29,US174527,100
AC8693504,2023-09-29,US117946,5400
AC8675127,2023-09-29,US098446,14000
AC8638131,2023-09-29,US151873,20
AC8671010,2023-09-29,US174070,3000
AC8655491,2023-09-29,US157073,3000
AC8660600,2023-09-29,US121003,1200
AC8651634,2023-09-29,US078468,1800
AC8691901,2023-09-29,US174527,15
AC8654603,2023-09-29,US133027,20
AC8680411,2023-09-29,US123400,12000
AC8680518,2023-09-29,US098371,4000
AC8643354,2023-09-29,US130532,475
AC8672802,2023-09-29,US123572,60
AC8688452,2023-09-29,US056321,20
AC8654140,2023-09-29,US009411,100
AC8688426,2023-09-29,US146195,100
AC8638194,2023-09-29,US107722,1250
AC8674057,2023-09-29,US036649,20
AC8672302,2023-09-29,US155263,35
AC8661303,2023-09-29,US137865,50
AC8688367,2023-09-29,US098587,500
AC8648538,2023-09-29,US128185,20
AC8680455,2023-09-29,US143947,2000
AC8651620,2023-09-28,US033875,60
AC8685773,2023-09-28,US110976,2000
AC8662591,2023-09-28,US119352,5400
AC8648538,2023-09-28,US128185,20
AC8661015,2023-09-28,US169450,2000
AC8677149,2023-09-28,US130532,20
AC8687034,2023-09-28,US009073,4000
AC8634917,2023-09-28,US148889,20
AC8650478,2023-09-28,US132871,2500
AC8644973,2023-09-28,US117835,20
AC8680156,2023-09-28,US122684,80
AC8662075,2023-09-28,US168296,1500
AC8670562,2023-09-28,US077003,20
AC8640412,2023-09-28,US000523,20
AC8670804,2023-09-28,US134150,5000
AC8657494,2023-09-28,US148040,1250
AC8665325,2023-09-28,US124811,20
AC8658942,2023-09-28,US045481,2700
AC8678557,2023-09-28,US111947,60
AC8662527,2023-09-28,US022940,40
AC8691012,2023-09-28,US170399,900
AC8661941,2023-09-28,US022940,20
AC8690423,2023-09-28,US134593,1800
AC8650326,2023-09-28,US074534,20
AC8664498,2023-09-28,US000523,70
AC8657747,2023-09-28,US068212,20
AC8660304,2023-09-28,US132410,100
AC8685388,2023-09-28,US098371,900
AC8666049,2023-09-28,US117827,20
AC8634788,2023-09-28,US174334,20
AC8676786,2023-09-28,US154991,1250
AC8670149,2023-09-28,US111228,40
AC8666932,2023-09-28,US033875,1000
AC8648182,2023-09-28,US063002,20
AC8675209,2023-09-28,US050935,50
AC8671476,2023-09-28,US056135,20
AC8690445,2023-09-28,US151612,20
AC8662989,2023-09-28,US134272,40
AC8683474,2023-09-28,US023924,20
AC8665020,2023-09-28,US084845,5500
AC8666717,2023-09-28,US056321,20
AC8661126,2023-09-28,US134272,100
AC8667864,2023-09-28,US171681,1250
AC8679113,2023-09-28,US119659,100
AC8657189,2023-09-28,US134272,40
AC8672018,2023-09-28,US008494,70
AC8666247,2023-09-28,US119334,1400
AC8648118,2023-09-28,US174556,2700
AC8662863,2023-09-28,US125405,200
AC8669068,2023-09-28,US119209,3000
AC8676582,2023-09-28,US102532,1800
AC8637327,2023-09-28,US068212,100
AC8636648,2023-09-28,US093912,600
AC8677296,2023-09-28,US117457,20
AC8675945,2023-09-28,US127979,4000
AC8652115,2023-09-28,US154753,50
AC8674702,2023-09-28,US158850,1200
AC8674057,2023-09-28,US036649,20
AC8652017,2023-09-28,US123304,20
AC8653729,2023-09-28,US058887,900
AC8674100,2023-09-28,US063473,120
AC8649755,2023-09-28,US038209,540
AC8691408,2023-09-28,US155190,2700
AC8667863,2023-09-28,US119659,20
AC8665914,2023-09-28,US151909,1250
AC8639251,2023-09-28,US169964,2450
AC8649292,2023-09-28,US085871,3000
AC8682065,2023-09-28,US068212,100
AC8639209,2023-09-28,US125998,100
AC8666332,2023-09-28,US123572,100
AC8688778,2023-09-28,US174560,800
AC8670461,2023-09-28,US079445,150
AC8639564,2023-09-28,US134595,900
AC8689404,2023-09-28,US134494,6000
AC8650579,2023-09-28,US148889,60
AC8685478,2023-09-28,US036649,20
AC8679637,2023-09-28,US109934,25
AC8683261,2023-09-28,US022940,60
AC8667214,2023-09-28,US110976,1250
AC8640096,2023-09-28,US058887,1200
AC8643447,2023-09-28,US117146,3000
AC8679371,2023-09-28,US155203,800
AC8690358,2023-09-28,US056321,20
AC8643842,2023-09-28,US151612,11
AC8636449,2023-09-28,US133027,20
AC8646885,2023-09-28,US111538,1250
AC8676894,2023-09-28,US080986,1800
AC8653643,2023-09-28,US123148,100
AC8664415,2023-09-28,US117916,3000
AC8679653,2023-09-28,US100593,40
AC8692137,2023-09-28,US039767,475
AC8638353,2023-09-28,US114610,1300
AC8657310,2023-09-28,US177412,20
AC8692489,2023-09-28,US147441,1200
AC8691358,2023-09-28,US111228,36
AC8642270,2023-09-28,US078156,35
AC8647515,2023-09-28,US177164,1250
AC8663278,2023-09-28,US125680,20
AC8687820,2023-09-28,US016694,60
AC8688647,2023-09-28,US141355,20
AC8672784,2023-09-28,US008494,30
AC8692509,2023-09-28,US011278,20
AC8681065,2023-09-28,US138802,100
AC8668166,2023-09-28,US056690,9000
AC8665463,2023-09-28,US172112,5000
AC8663390,2023-09-28,US100593,20
AC8683345,2023-09-28,US122746,80
AC8644311,2023-09-28,US134595,900
AC8665287,2023-09-28,US075607,200
AC8654603,2023-09-28,US133027,20
